company_na,state,region,lat,long,address,phone,email,locality,avg_ope_da,weeks,avg_client,number_yea,avg_cost_d,gross_rev_,avg_cost_s,gross_re_1,avg_operat,net_rev_sc,net_rev_sn,owner_nati,operationa,type_of_bu,n_of_store,employees,diving_imp,certificat,trip_price,trip_pri_1,n_boats,boat_capac,site_healt,conservati,mpa_suppor,fishing,fishing_im,involvemen,interest_j
DEEP_BLUE_DIVE,OAXACA,Mexican Pacific,15.850746,-97.054403,"Calle del Morro s / n, col. Marinero, Playa Zicatela ,  71986 Puerto Escondido (Oax)  M�xico",(+52) 954-127-8306,lorenzo_bini@hotmail.com,PUERTO_ESCONDIDO,6.416666667,52,52.08333333,17378.47222,90,1151150,25,33019.09722,66.27,388282.895,11137.34149,ITALIAN,16,Family business,1,3,8,PADI,90,252,2,8,3,10,9,Yes,8,8,8
DEEP_EXPOSURE_DIVE_CENTER,QUINTANA ROO,Yucatan Peninsula,20.507944,-86.949754,"10a Avenida Sur 215, Centro, 77600 San Miguel de Cozumel, Q.R.",(987) 8723621,lupita@deepexposuredivecenter.com,COZUMEL,7,52,93.75,34125,97,2979112.5,55,187687.5,72,834151.5,52552.5,MEXICAN,15,Medium sized business,1,9,10,"PADI, NAUI, SDI, TDI",97,55,2,11,8,10,10,Yes,10,10,10
DEEP_LIFE_DIVERS,QUINTANA ROO,Yucatan Peninsula,21.143477,-86.791025,"Calle Pescador SN Hotel Sotavento, Zona Hotelera, 77500 Canc�n, Q.R.",01 998 227 4043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELFIN_DIVING,QUINTANA ROO,Yucatan Peninsula,21.238602,-86.739206,"La Playita Pier, MSDT no. 31709, Isla mujeres",998 578 7097,arturo_delfin@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELFINES_GEMELOS,JALISCO,Northwest Mexico,20.660234,-105.239717,"Calle Polit�cnico Nacional 107, Educaci�n, 48338 Puerto Vallarta, Jal.",01 322 293 1905,tdscuba@twindolphinspv.com,PUERTO_VALLARTA,5,52,11.66666667,3033.333333,120,327600,60,18200.00001,63,121212,6734.000002,MEXICAN,22,Family business,1,4,10,PADI,120,65,2,12,0,10,10,No,0,10,10
DIMI_SCUBA_TOURS,QUINTANA ROO,Yucatan Peninsula,20.496423,-86.94755,"55 Ave. # 291 entre 3 Sur y Adolfo R. Salas Cozumel, Q Roo",987) 8722915,dia_de_leon@hotmail.com,COZUMEL,7,52,22.08333333,8038.333333,70,419358.3333,45,283237.5,72,117420.3333,79306.5,MEXICAN,30,Family business,2,11,10,"PADI, SST",70,45,2,20,2,5,8,Yes,8,10,9
DISCOVER_MANZANILLO,COLIMA,Mexican Pacific,19.104005,-104.342726,"Vista Hermosa 13, Pen�nsula de Santiago, 28868 Manzanillo, Col.",01 314 164 3242,�Mariano@discovermanzanillo,MANZANILLO,7,52,512.5,186550,100,1865500,50,3731000,66.27,629233.15,1258466.3,MEXICAN,15,Family business,2,9,4,PADI,100,50,3,14,9,10,10,Yes,2,10,10
DIVE_AVENTURAS,QUINTANA ROO,Yucatan Peninsula,20.499794,-87.227378,"Interior of Omni Hotel, 77750 Puerto Aventuras, Q.R.",(984) 8735129,info@diveaventuras.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE_CABO,BAJA CALIFORNIA SUR,Northwest Mexico,22.88077,-109.9113,"Wyndham Resort, Local A14, Blvd. Marina, Lote 9 y 10, Colonia Centro, Marina, 23450 Cabo San Lucas, Baja California Sur, Mexico  (From Google Maps)","011 52 624 157 6327, 011 52 624 105 1793, 044 624 157 6327, 044 624 105 1793",info@divecabo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE_HOME,QUINTANA ROO,Yucatan Peninsula,20.847139,-86.877037,"AVENIDA JAVIER ROJO GOMEZ SM01 MZ09 LT04, 77580 Puerto Morelos, Q.R.",984 207 8181,adriandprado@gmail.com,PUERTO_MORELOS,7,52,5,1820,130,189280,35,12740,72,52998.4,3567.2,MEXICAN-SPANISH,10,Family business,1,2,10,"PADI, ACUC",130,35,0,0,8,10,10,Yes,1,10,10
DIVE_HOUSE,QUINTANA ROO,Yucatan Peninsula,20.50956,-86.950052,"Calle 1 Sur 580, Centro, 77600 San Miguel de Cozumel, Q.R.",(987) 8721953,dive@divehouse.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE_IN_LA_PAZ,BAJA CALIFORNIA SUR,Northwest Mexico,24.159683,-110.317978,"Unable to find address. Coordinates from GoogleMaps ""La Paz, Baja California Sur""","01152 612 149 4410, 01152 612 167 8914",info@diveinlapaz.com,LA_PAZ,7,52,75,27300,150,1433250,100,1501500,63,530302.5,555555,FRENCH,5,Family business,1,8,10,PADI,150,90,2,8,0,10,10,No,8,10,10
DIVE_LIFE,QUINTANA ROO,Yucatan Peninsula,21.257281,-86.746763,"Calle 2, between 5th, 10 Avenida Sur, Gonzalo Guerrero, 77710 Playa del Carmen, Q.R.",998 688 4164,isla@divelife.mx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE_MEX,QUINTANA ROO,Yucatan Peninsula,20.624199,-87.07603,Calle 2 entre Avenida 10 y 15 Centro Colonial 77710 Playa del Carmen Quintana Roo,(984) 1480425,info@divemex.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE_MIKE,QUINTANA ROO,Yucatan Peninsula,20.625653,-87.072548,"Calle 8 entre 5 Ave y Zona Federal Maritima, Playa del Carmen Q. Roo 77710",(984) 8031228,info@divemike.com,PLAYA_DEL_CARMEN,7,52,166.6666667,60666.66667,70,3822000,40,121333.3333,72,1070160,33973.33333,MEXICAN,18,Family business,1,10,10,"PADI, IANTD, CMAS, SDI, TDI",70,40,2,10,2,0,10,Yes,7,10,10
DIVE_NINJA_EXPEDITIONS,BAJA CALIFORNIA SUR,Northwest Mexico,22.887812,-109.912815,"Ignacio Zaragoza 345 Entre Calles 16 de Septiembre y Ni�os Heroes, Centro, 23450 Cabo San Lucas, B.C.S.",01 624 247 3741,,CABO_SAN_LUCAS,7,52,10,3640,115,359298.3333,60,21840,63,132940.3833,8080.8,UNITED STATES,2,Family business,1,3,10,"PADI, SSI",115,60,0,0,4,10,10,Yes,8,10,10
DIVE_PALANCAR,QUINTANA ROO,Yucatan Peninsula,20.500979,-86.953719,"Km 12.1, Lic. Andr�s Quintana Roo s/n, Gonzalo Guerrero, 77600 San Miguel de Cozumel, Q.R.",(987) 8725556,divepal@prodigy.net.mx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE_PARADISE,QUINTANA ROO,Yucatan Peninsula,20.506553,-86.956367,"Avenida General. Rafael E. Melgar 602, Centro, 77600 San Miguel de Cozumel, Q.R.",(987) 8721007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE_PRO_CANCUN,QUINTANA ROO,Yucatan Peninsula,21.143255,-86.78209,"Boulevard Kukulcan, Km. 5, Hotel Zone, Zona Hotelera, 77500 Canc�n, Q.R.",01 998 197 6944,contact@diveprocancundiving.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE_SHOP_MEXICO,QUINTANA ROO,Yucatan Peninsula,20.630419,-87.069323,"Calle 20 Entre 5ta y, Calle 1 Nte. Loc. 2, Centro, 77710 Playa del Carmen, Q.R.",(984) 8033174,info@diveshopmexico.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE_WITH_CHARRO,QUINTANA ROO,Yucatan Peninsula,20.508728,-86.948537,"C. 1RA SUR X 10 Y, 15A Avenida Sur, Centro, San Miguel de Cozumel, Q.R.",(987) 1129838,divecharrocozumel@gmail.com,COZUMEL,7,52,30,10920,80,786240,50,54600,72,220147.2,15288,MEXICAN,20,Family business,1,7,10,PADI,80,50,2,14,8,10,10,Yes,9,8,8
DIVE_WITH_MARTIN,QUINTANA ROO,Yucatan Peninsula,20.478936,-86.974419,"Carretera Costera Sur km. 4.5. Loc. 1A int. SSA Muelle Internacional Cruise Ship Terminal, Cozumel Q. Roo. 77600",987) 8722610,divewithmartin@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE_WITH_RUBEN_SCUBA_DIVING_PUERTO_MORELOS,QUINTANA ROO,Yucatan Peninsula,20.850234,-86.874705,"Rafael E. Melgar Mz2 Lt2 Puerto Morelos 77580 Puerto Morelos, Q.R.",(998) 1303240,Info@divewithruben.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE_ZIHUA,GUERRERO,Mexican Pacific,17.639081,-101.557628,"Pedro Ascencio 7, Centro, 40890 Zihuatanejo, Gro.",044 755 102 3738,dive@divezihuatanejo.com,IXTAPA,6.25,52,12.5,4062.5,100,312812.5,90,59718.75001,66.27,105511.6563,20143.13438,CANADIAN,10,Family business,1,1,10,PADI,90,35,1,12,,10,10,Yes,9,10,9
DIVERSITY_DIVING,QUINTANA ROO,Yucatan Peninsula,20.638407,-87.063953,"Calle 30 con 5ta Avenida, Playa del Carmen Q. Roo",(984) 8034483,info@diversitydiving.com,PLAYA_DEL_CARMEN,5.166666667,52,64.58333333,17351.38889,80,1249300,60,52054.16668,72,349804,14575.16667,MEXICAN,6,Family business,1,8,10,PADI,100,45,1,13,2,10,10,Yes,10,9,9
DIVERSPOINT_PUERTO_MORELOS,QUINTANA ROO,Yucatan Peninsula,20.848754,-86.875828,"Av. Javier Rojo Gomez, SM2 MZ5 Lote 18 Local-2, 77580 Puerto Morelos, Q.R.",(998) 2069051,info@diverspoint.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVING_ADVENTURES,QUINTANA ROO,Yucatan Peninsula,20.467009,-86.980411,"15 Ave. Sur C # 1280 Entre calles 19 y 21 Cozumel , QUINTANA ROO , 77663",(987) 8723009,feliperomo007@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVING_CENOTES_TULUM,QUINTANA ROO,Yucatan Peninsula,20.210514,-87.467499,"Calle Polar poniente S/N Tulum centro 77780 Tulum, Q.R.",(984) 1406813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCTOR_DIVE_COSTA_MAYA,QUINTANA ROO,Yucatan Peninsula,18.715622,-87.707456,"Avenida Mahahual con Calle Coronado, 77940 Mahahual, Q.R.",983 834 5619,info@doctordive.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLPHIN_DIVE_BAJA,BAJA CALIFORNIA SUR,Northwest Mexico,26.007874,-111.3525509,"Benito Juarez S/N Centro, 23880 Loreto, Baja California Sur, Mexico (From Operator Website)",01152 613 135 1914,contact@dolphindivebaja.com,LORETO,6,52,44.58333333,13910,135,1502280,75,208650,63,555843.6,77200.5,MEXICAN,19,Family business,3,5,10,PADI,135,75,3,6,5,10,10,Yes,9,10,10
DORADO_BUCEO,VERACRUZ,Gulf of Mexico,19.193783,-96.124724,Blvd. Manuel Avila Camacho no. 865 Col. Flores Mag�n C.P. 91900,"229 931 43 05, 229 931 31 03, 229 928 09 52","manuel@doradobuceo.com, silva@doradobuceo.com",VERACRUZ Y ANTONIO LIZARDO,7,52,91.25,33215,50,1494675,25,83037.5,70,448402.5,24911.25,MEXICAN,27,Family business,1,12,10,"PADI, SNSI, FMAS",50,25,3,15,0,10,10,Yes,8,10,10
DORADO_BUCEO_CARIBE,QUINTANA ROO,Yucatan Peninsula,20.846962,-86.877154,"no. 6 1, Av Javier Rojo Gomez, Smz 18, 77580 Puerto Morelos, Q.R.",NA,caribe@doradobuceo.com,PUERTO_MORELOS,7,52,11.66666667,4246.666667,75,286650,35,14863.33334,72,80262,4161.733335,MEXICAN,3,Family business,1,3,10,PADI SNSI,75,35,1,15,5,10,10,Yes,5,10,10
DREAMTIME_DIVE_RESORT,QUINTANA ROO,Yucatan Peninsula,18.704289,-87.714221,"KM 2.5 Camino Costal, Mahahual Q. R.  M�mexico.",52 1 983 124 0235,info@dreamtimediving.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRESSEL_DIVERS,QUINTANA ROO,Yucatan Peninsula,20.602728,-87.091177,"Pasea Xaman-ha lote 2 Playacar 77717 Playa del Carmen, Q.R.",(984) 8031081,info@dresseldivers.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRESSEL_DIVERS_PUERTO_VALLARTA,NAYARIT,Northwest Mexico,20.791328,-105.49172,"Av. Camino Ingreso A Litibu, Lote 15, Punta de Mita, 63734 Nayarit, Nay.",01 321 392 2338,info@dresseldivers.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGLE_RAY_DIVERS,QUINTANA ROO,Yucatan Peninsula,20.465588,-86.980549,"San Miguel de Cozumel, Quintana Roo",(987) 8725735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST_CAPE_EXPLORERS,BAJA CALIFORNIA SUR,Northwest Mexico,23.0490283,-109.7091363,"Edificio Los Pinos, Local B3, Blvd. Tiburon, La Playita, 23403 San Jos� del Cabo, Baja California Sur, Mexico (From GoogleMaps)",01152 1 624 191 2016,�info@eastcapeexplorers.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTCAPE_ADVENTURES,BAJA CALIFORNIA SUR,Northwest Mexico,23.435871,-109.427656,"Cabo Pulmo, B.C.S.",01 624 117 4257,,CABO_PULMO,7,52,116.6666667,42466.66667,120,1528800,50,1486333.333,63,565656,549943.3333,MEXICAN,6,Family business,1,7,3,,120,50,3,6,2,10,10,Yes,2,10,7
ECO_ADVENTURES,BAJA CALIFORNIA SUR,Northwest Mexico,23.4367201,-109.4339294,"Cabo Pulmo, Baja California Sur","044 624 157 4072, 044 624 191 6761",info@tourscabopulmo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECO_DIVERS,QUINTANA ROO,Yucatan Peninsula,20.509062,-86.948681,"MZA, 10a Avenida Sur 201, Centro, 77600 San Miguel de Cozumel, Q.R.",(987) 8725628,Kristin@ecodiverscozumel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECO_EXPLORER,JALISCO,Northwest Mexico,20.665396,-105.248951,"Proa 22, Marina Vallarta, 48335 Puerto Vallarta, Jal.",01 322 221 3257,info@ecoexplorer.com.mx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECO_SONORA_DIVE_CENTER,SONORA,Northwest Mexico,29.103535,-110.958115,"Nogales #45, Col. Modelo, Hermosillo, Sonora",(662) 2143166,,HERMOSILLO,2,52,5,520,130,40560,99,3431.999997,63,15007.2,1269.839999,MEXICAN,24,Family business,1,6,10,PADI,65,15,0,10,2,10,10,Yes,10,10,10
ECODIVING_TOURS,QUINTANA ROO,Yucatan Peninsula,20.630788,-87.070989,"Av. Constituyentes No. 677 Planta Alta entre 10 y 15, Playa del Carmen Q. Roo",01 984 879 4716,ecodivingtours@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOTOURS_DE_M�XICO,JALISCO,Northwest Mexico,20.665637,-105.248998,"Proa sn local 20 Marina Vallarta, 48335 Puerto Vallarta, Jal.",01 322 209 2195,info@ecotoursvallarta.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL_MAR_DIVING_CENTER,SONORA,Northwest Mexico,27.963479,-111.0284,"263 Creston San Carlos Guaymas, Sonora 85506",(622) 2260404,elmarmexico@gmail.com,SAN_CARLOS,6.333333333,52,50,16466.66667,130,1926600,99,81510,63,712842,30158.7,MEXICAN,32,Family business,1,6,10,"PADI, SSI",130,99,1,26,10,10,10,Yes,1,10,10
EMILIO_DIVE_CENTER,QUINTANA ROO,Yucatan Peninsula,21.258672,-86.749914,"v. Rafael Melgar entre calle 9 y 11 Sur, Cozumel Q. Roo 77600",01 998 159 1054,divemilio@gmail.com,ISLA_MUJERES,7,52,39.58333333,14408.33333,80,922133.3333,45,129675,72,258197.3333,36309,MEXICAN,21,Family business,2,12,10,"SSI, SDI, PADI",80,45,4,10,8,10,10,Yes,6,9,10
ENJOY_DIVING,QUINTANA ROO,Yucatan Peninsula,20.639512,-87.067288,"Quintas del Carmen 145 77710, Playa del Carmen Q.Roo",(984) 8762139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESCUELA_DE_NATACI�N_Y_BUCEO_TIBUR�N,MICHOAC�N,Mexican Pacific,19.695905,-101.169349,"Batall�n Independencia 37, Chapultepec Nte., 58260 Morelia, Mich.",01 443 314 1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPIRITU_Y_BAJA_TOURS,BAJA CALIFORNIA SUR,Northwest Mexico,24.159979,-110.318972,"Lic. Benito Ju�rez, Zona Comercial, 23000 La Paz, B.C.S., Mexico (From GoogleMaps)",01152 612 122 4427,"contacto@espiritubaja.com.mx, espiritubaja@gmail.com",LA_PAZ,6.333333333,52,204.1666667,67238.88889,150,3025750,90,2723175,63,1119527.5,1007574.75,MEXICAN,14,Medium sized business,1,6,0,,,90,3,14,0,10,10,,,10,8
EXPLORA_SUB,TAMAULIPAS,Gulf of Mexico,22.259062,-97.863013,"85506 San Carlos, Sonora, Mexico",(833) 2134050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPLORA_VALLARTA,NAYARIT,Northwest Mexico,20.75461,-105.382125,"Calle Coral # 62, Puerto Vallarta., 63732 Cruz de Huanacaxtle, Nay.",�044 322 132 2753,tours@exploravallarta.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPLORE_DIVERS,YUCATAN,Yucatan Peninsula,21.033003,-89.622243,"Calle 40 #242 x 69 & 71 Col. Montes De Ame. CP. 97115, Merida Yucat�n","(999) 2424370, (999)1002931",ferndo@explorerdivers.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTREME_CONTROL,QUINTANA ROO,Yucatan Peninsula,20.159501,-87.454474,"Carretera Cancun - Tulum Km. 233 + 400 77780 Tulum, Q.R.",(984) 7454555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIVE_ELEMENTS_ADVENTURE_CENTER,JALISCO,Northwest Mexico,20.663316,-105.252521,"Club de Tenis Puesta del Sol, Local 7-b, Marina Vallarta, 48335 Puerto Vallarta, Jal.",044 322 139 9247,experience@fiveelementsadventure.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUN_BAJA,BAJA CALIFORNIA SUR,Northwest Mexico,24.183765,-110.302573,"Pichilingue Km 6.1, Costa Baja, 23010 La Paz, B.C.S., Mexico (From GoogleMaps)",01152 612 106 7148,"reservation@funbaja.com, tara@funbaja.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARY�S_DIVE_SHOP,SONORA,Northwest Mexico,27.959438,-111.037179,"Km.10 Beltrones Blvd. San Carlos, Guaymas Sonora 85506",622-226-0049,gary@garysdivemexico.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO_DIVERS,QUINTANA ROO,Yucatan Peninsula,20.507212,-86.952274,"Calle 5 Sur, Centro, 77600 San Miguel de Cozumel, Q.R.",01 987 878 4257,info@godivers.mx,COZUMEL,7,52,48.75,17745,85,1055827.5,55,292792.5,72,295631.7,81981.9,MEXICAN,15,,1,4,10,PADI,85,55,1,6,8,10,10,Yes,10,10,10
GYPSEA_DIVERS,QUINTANA ROO,Yucatan Peninsula,18.715889,-87.708492,"Calle Huauchinango, Detras del National Beach clup  Mahahual Q.R.",01 919 103 8779,coralnegro8@hotmail.com info@gypseadivers.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2O_PRO_DIVING,QUINTANA ROO,Yucatan Peninsula,20.209516,-87.474049,"Calle Chichen Itza Lt001 Tulum, 77780 Q. Roo",(984) 1443969,info@h2oprodiving.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALOCLINE_DIVERS,QUINTANA ROO,Yucatan Peninsula,20.659257,-87.093344,"Real Ibiza M 2 L 2, CALLE ALBAIDA II, NoExt V.206 AD2EDIF. D, Zona Urbana B, 77723 Playa del Carmen, Quintana Roo",01 984 211 2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOTEL_B_COZUMEL,QUINTANA ROO,Yucatan Peninsula,20.534484,-86.938268,"km 2.5, Av. Rafael E. Melgar, Zona Hotelera Nte., 77600 San Miguel de Cozumel, Q.R.",(987) 1018441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUATULCO_DIVE_CENTER,OAXACA,Mexican Pacific,15.764435,-96.121335,"Bah�as de Huatulco Marina Chahu�, L-6",01 958 583 4295,info@huatulcodivecenter.com,HUATULCO,6,52,73.33333333,22880,95,1956240,38,86944,66.27,659839.752,29326.2112,ITALIAN,10,Medium sized business,1,5,10,PADI,95,38,1,10,10,10,10,Yes,10,10,10
HURRICANE_DIVERS_SA_DE_CV,OAXACA,Mexican Pacific,15.762198,-96.129403,Plaza en Chahu� Huatulco,01 958 587 1107,email@hurricanedivers.com,HUATULCO,6,52,19.58333333,6110,110,336050,80,244400,66.27,113349.665,82436.12,DUTCH,20,Family business,1,4,10,PADI,110,80,1,10,5,10,10,Yes,10,8,10
IMPERIAL_DIVERS,VERACRUZ,Gulf of Mexico,19.163928,-96.109507,"Boulevard Ruiz Cortines 1111, Colonia Costa Verde",2292780000,emiliovelez@imperialdivers.com,VERACRUZ Y ANTONIO LIZARDO,7,52,10,3640,55,116783.3333,25,530.8333303,70,35035,159.2499991,MEXICAN,2,Family business,1,2,10,PADI,55,25,1,14,3,10,10,Yes,10,10,10
IXTAPA_AQUA_PARADISE,GUERRERO,Mexican Pacific,17.633021,-101.559238,"Paseo del Morro S/N Interior 1 Puerto M�o Cerro del Almac�n, Puerto M�o, 40880 Ixtapa Zihuatanejo, Gro.",01 755 553 1510,miguelrv1@prodigy.net.mx,IXTAPA,5,52,29.16666667,7583.333333,100,682500,90,68250.00001,66.27,230207.25,23020.725,MEXICAN,18,Family business,1,2,10,PADI,90,20,1,12,7,10,10,Yes,8,10,10
KAY_-_OP_DIVING_CLUB,QUINTANA ROO,Yucatan Peninsula,20.210489,-87.465394,"Carr. Fed. Canc�n - Chetumal, Tulum Q. Roo",(984) 1644040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOOX_DIVING,QUINTANA ROO,Yucatan Peninsula,20.211608,-87.461966,"Av. Tulum Mz2Lt4 Centro 77780 Tulum, Q.R.",(984) 9800544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOOX_DIVING_PUERTO_AVENTURAS,QUINTANA ROO,Yucatan Peninsula,20.503594,-87.224499,"Bah�a Xcacel MZ 23,LT 11, 77400, 77400 Puerto Aventuras, Q.R.",01 998 980 0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA_VENTANA_BEACH_RESORT,BAJA CALIFORNIA SUR,Northwest Mexico,24.0472054,-109.9904876,"Carretera Isla Cerralvo Km. 7, 23232 La Ventana, B.C.S., Mexico (From GoogleMaps)",52 1 612 139 3919,"info@lvxbajamex.com, jg@lvxbajamex.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANDS_END_DIVERS,BAJA CALIFORNIA SUR,Northwest Mexico,22.8810572,-109.9137555,"Blvd. Marina Int. Ht. Tesoro Resort, Col. Centro C.P: 23410 (From Government Data Sheet)",52 624 143 2200,leddiver@hotmail.com.mx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUID_BLUE_DIVERS,QUINTANA ROO,Yucatan Peninsula,20.498571,-86.957219,"Calle 21 Sur #280, Corpus Christi, 77664 San Miguel de Cozumel, Q.R.",987) 8697794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCAL_EXPERIENCIES,NAYARIT,Northwest Mexico,20.754847,-105.380263,CARRETERA FEDERAL LA CRUZ DE HUANACAXTLE-PUNTA DE MITA 129,322 141 6693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKY_FISH_DIVE_CENTER,QUINTANA ROO,Yucatan Peninsula,20.263441,-87.39364,"Tan Kah Bay 16, Tulum 77780, Mexico",(984) 1190901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHAHUAL_DIVE_CENTER,QUINTANA ROO,Yucatan Peninsula,18.713913,-87.709407,"Calle Caz�n S/N, Col. Mahahual, 77940 Mahahual, Q.R.","983102099, 9831167593",norma@mahahualdivecentre.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANTA_DIVERS,QUINTANA ROO,Yucatan Peninsula,21.079757,-86.776434,"Blvd. Kukulcan Km. 16, Marina Del Rey, In front of the Grand Oasis Hotel, Lagoon Side, Zona Hotelera, 77500 Canc�n, Q.R.",01 998 849 4050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANTA_RAYA_DIVERS,QUINTANA ROO,Yucatan Peninsula,20.527987,-86.938922,"v. Rafael Melgar entre calle 9 y 11 Sur, Cozumel Q. Roo 77600",(987) 8697987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANTA_SCUBA_DIVING,BAJA CALIFORNIA SUR,Northwest Mexico,22.8784681,-109.9107347,"Blvd. Marina #7D Local 37 Int. Plaza Gali. Col . Centro CP 23450 Cabo San Lucas, BCS (From Operator Website)","011 52 624 144 3871, 01152 624 143 8738, 877 287 1120",mantascuba@gmail.com,CABO_SAN_LUCAS,7,52,120.8333333,43983.33333,100,3958500,45,197925,63,1464645,73232.25,ISRAELI,17,Medium sized business,1,14,10,PADI,100,45,3,9,10,10,9,Yes,2,0,0
MANZANILLO_DIVE_AND_SURF,COLIMA,Mexican Pacific,19.119819,-104.360308,"Boulevard Miguel de La Madrid Hurtado 1545, Olas Altas, 28860 Manzanillo, Col.",01 314 164 3242,,MANZANILLO,7,52,25,9100,100,910000,50,4550,66.27,306943,1534.715,MEXICAN,1,Family business,1,7,10,PADI,100,50,2,14,9,10,10,Yes,2,10,10
MAR_Y_SIERRA_CABO_PULMO_SCUBA_DIVING,BAJA CALIFORNIA SUR,Northwest Mexico,23.436,-109.429,"23400 Cabo Pulmo, Baja California Sur, Mexico","01152 624 168 5186, 612 15 30 847",marysierramexico@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARE_SCUBA,CIUDAD DE MEXICO,Gulf of Mexico,19.414544,-99.166513,"Amsterdam 315 interior 301, Hip�dromo, 06100 Ciudad de M�xico, CDMX",01 55 5574 2813,marescuba@gmail.com,CIUDAD_DE_MEXICO,6,52,10,3120,98.95833333,308750,0,0,70,92625,0,MEXICAN,11,Family business,1,3,10,"PADI, SDI",300,0,0,0,6,10,10,Yes,8,10,10
MARKO�S_PARROTFISH,QUINTANA ROO,Yucatan Peninsula,20.510225,-86.94778,"10a Av. Nte 42, Centro, 77600 San Miguel de Cozumel, Q.R.",(987) 8714983,diazoriol@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARLIN_ADVENTURES,BAJA CALIFORNIA SUR,Northwest Mexico,24.160038,-110.31894,"Av. Alvaro Obregon 460-F, Zona Central, 23000 La Paz, B.C.S., Mexico (From GoogleMaps)","01152 612 125 7842, 044 612 137 4495, 044 612 127 1361","roberto@marlidventures.net, gonzalo@marlidventures.net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME_DIVE_CENTER,QUINTANA ROO,Yucatan Peninsula,20.624351,-87.075185,"Av. 10 and 32 St. Col. Centro 77710 Playa del Carmen, Q. Roo",(984) 1472977,info@medivecenter.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
